COU,Country,GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year
KEN,Kenya,42443399231.0,0.0,0.0,74.65094529,0.0,2011
KGZ,Kyrgyz Republic,5079922900.0,27.8,0.0,28.75182482,0.0,2011
KHM,Cambodia,12037055708.0,0.0,0.0,82.35829368,0.0,2011
KIR,Kiribati,158610338.3,0.0,0.0,129.20493829999998,0.0,2011
KNA,St. Kitts and Nevis,780463737.2,0.0,0.0,200.0230769,0.0,2011
KWT,Kuwait,126532000000.0,0.0,0.0,179.0713244,0.0,2011
LAO,Lao PDR,7700771123.0,0.0,58.28794098,27.44145147,0.0,2011
LBN,Lebanon,38772202673.0,31.8,0.0,448.52082110000003,0.0,2011
LBR,Liberia,2161851301.0,0.0,0.0,42.25671719,0.0,2011
LBY,Libya,28357141373.0,0.0,0.0,3.519954647,0.0,2011
LCA,St. Lucia,1430651614.0,0.0,0.0,284.9704918,0.0,2011
LIE,Liechtenstein,0.0,0.0,0.0,226.65,0.0,2011
LKA,Sri Lanka,61493396999.0,0.0,0.0,323.951794,0.0,2011
LSO,Lesotho,2524596361.0,0.0,0.0,67.98965744,0.0,2011
LTU,Lithuania,39363759100.0,32.5,99.81559753,48.31533087,0.0,2011
LUX,Luxembourg,54563666562.0,32.1,0.0,213.3115226,0.0,2011
LVA,Latvia,25273331011.0,35.8,99.89589691,33.114292600000006,0.0,2011
MAC,"Macao SAR, China",34218688481.0,0.0,95.64003754,18375.88623,0.0,2011
MAF,St. Martin (French part),0.0,0.0,0.0,562.7757353,0.0,2011
MAR,Morocco,98106615022.0,0.0,67.08415985,73.62496751,0.0,2011
MCO,Monaco,5741986755.0,0.0,0.0,18748.5,0.0,2011
MDA,Moldova,6206793144.0,30.6,0.0,124.09753549999999,0.0,2011
MDG,Madagascar,8856903643.0,0.0,0.0,37.37390146,0.0,2011
MDV,Maldives,2809898201.0,0.0,0.0,1250.436667,0.0,2011
MEX,Mexico,1096550000000.0,0.0,93.51998138,61.26187248,0.0,2011
MHL,Marshall Islands,166959486.5,0.0,98.26508331,291.9,0.0,2011
MKD,North Macedonia,9627285730.0,39.4,0.0,82.1722046,0.0,2011
MLI,Mali,11024767958.0,0.0,33.56093979,12.73653202,0.0,2011
MLT,Malta,8856688742.0,29.1,93.30735779,1300.8375,0.0,2011
MMR,Myanmar,52310879191.0,0.0,0.0,77.38222076,0.0,2011
MNE,Montenegro,4271646199.0,30.8,98.44220734,46.10252788,0.0,2011
MNG,Mongolia,8432599136.0,33.9,0.0,1.777540616,0.0,2011
MNP,Northern Mariana Islands,737538461.5,0.0,0.0,116.92608700000001,0.0,2011
MOZ,Mozambique,10876976989.0,0.0,0.0,31.71368168,0.0,2011
MRT,Mauritania,4541843582.0,0.0,0.0,3.6069389739999997,0.0,2011
MUS,Mauritius,10411565236.0,0.0,89.24983978,616.9477833,0.0,2011
MWI,Malawi,7297481088.0,0.0,0.0,165.7575095,0.0,2011
MYS,Malaysia,268517000000.0,43.9,0.0,87.15607366,0.0,2011
NAM,Namibia,11856607187.0,0.0,88.27462769,2.6911792930000002,0.0,2011
NCL,New Caledonia,0.0,0.0,0.0,13.91411379,0.0,2011
NER,Niger,5849222101.0,31.5,0.0,13.47172653,0.0,2011
NGA,Nigeria,382647000000.0,0.0,0.0,178.8344763,0.0,2011
NIC,Nicaragua,9311876958.0,0.0,0.0,48.26175835,0.0,2011
NLD,Netherlands,859687000000.0,27.7,0.0,495.0496441000001,0.0,2011
NOR,Norway,433302000000.0,25.3,0.0,13.56103923,0.0,2011
NPL,Nepal,16550239852.0,0.0,59.62725067,190.63234740000001,0.0,2011
NRU,Nauru,55003298.71,0.0,0.0,502.85,0.0,2011
NZL,New Zealand,150535000000.0,0.0,0.0,16.64957654,0.0,2011
OMN,Oman,57992197659.0,0.0,0.0,10.45967044,0.0,2011
PAK,Pakistan,182283000000.0,30.9,54.73802185,225.95509680000004,0.0,2011
PAN,Panama,32771051606.0,51.3,0.0,49.87600215,0.0,2011
PER,Peru,156863000000.0,44.7,0.0,23.24999141,0.0,2011
PHL,Philippines,206895000000.0,0.0,0.0,319.54234160000004,0.0,2011
PLW,Palau,192713097.5,0.0,0.0,44.78043478,0.0,2011
PNG,Papua New Guinea,14408526151.0,0.0,0.0,16.05208674,0.0,2011
POL,Poland,503303000000.0,32.8,0.0,124.2962969,0.0,2011
PRI,Puerto Rico,98028592583.0,0.0,0.0,414.73866969999995,0.0,2011
PRT,Portugal,233950000000.0,36.3,94.47705078,115.2697893,0.0,2011
PRY,Paraguay,28372405344.0,52.3,0.0,15.84138686,0.0,2011
PSE,West Bank and Gaza,10019539737.0,34.4,95.26724243,652.3340532000001,0.0,2011
PYF,French Polynesia,0.0,0.0,0.0,73.72759563,0.0,2011
